ranking,top_k,sampler,seed,sample_size,mape,mae,r2
Spearman,200,diversified,43,5000,21.504538026710563,26729462.192,0.7776866379638487
Spearman,200,coverage,43,5000,24.658448333204436,30087611.164,0.7706804347002301
Spearman,200,random,44,5000,24.6805052537987,24288318.994,0.6911724685187756
Spearman,200,distance,44,5000,24.106557793865512,23957788.876,0.7230477702349564
Spearman,200,diversified,44,5000,21.97950854023216,27934469.45,0.7947377019859536
Spearman,200,coverage,44,5000,25.233709617284106,34603374.376,0.7744972594279221
Spearman,200,random,45,5000,22.46264865083612,21211375.942,0.7878382685806855
Spearman,200,distance,45,5000,23.878308978076866,22022512.169,0.7545713251045905
Spearman,200,diversified,45,5000,22.36969905442576,28704206.846,0.8010673908058162
Spearman,200,coverage,45,5000,24.592958481047987,31843945.82,0.7564503454328595
Spearman,200,random,46,5000,24.218066761229903,24231845.96,0.7254186818054124
Spearman,200,distance,46,5000,24.02008527967179,22109501.062,0.8271827800106785
Spearman,200,diversified,46,5000,22.690623168970806,30138061.25,0.8010566003889676
Spearman,200,coverage,46,5000,25.680172038783805,34599202.892,0.7512588149653314
Spearman,300,random,42,5000,22.94808668904081,21985608.474,0.7709047513716942
Spearman,300,distance,42,5000,22.27290519094917,20968489.686,0.7573750910700671
Spearman,300,diversified,42,5000,22.821474550459023,26880834.23,0.8058980670811368
Spearman,300,coverage,42,5000,26.31307712965682,35178880.148,0.7813877474924964
Spearman,300,random,43,5000,22.47082303882826,21445698.938,0.782577000463603
Spearman,300,distance,43,5000,22.309838455022497,21696985.286,0.7744287674968431
Spearman,300,diversified,43,5000,22.100692952977795,27616247.756,0.6768142937972441
Spearman,300,coverage,43,5000,23.685920578327483,31193430.732,0.8068074625781567
Spearman,300,random,44,5000,23.85497125288978,23626740.63,0.694136634497325
Spearman,300,distance,44,5000,23.87975068018967,23786926.318,0.785960139598722
Spearman,300,diversified,44,5000,23.09928556906052,29104218.392,0.7350465223006846
Spearman,300,coverage,44,5000,25.302993689437585,33208704.552,0.7653280258999862
Spearman,300,random,45,5000,22.50440914392317,21309349.356,0.7924427152141146
Spearman,300,distance,45,5000,22.477146489517793,21542378.39,0.7093834394087946
Spearman,300,diversified,45,5000,23.910260194559996,28285302.64,0.7086053881785804
Spearman,300,coverage,45,5000,24.861402789763684,33444730.658,0.7808988022674067
Spearman,300,random,46,5000,23.466580727067758,23788010.584,0.7139961687330671
Spearman,300,distance,46,5000,23.49526340006882,24853131.582,0.6545019333375302
Spearman,300,diversified,46,5000,21.975890672502764,27753381.864,0.7867203218909644
Spearman,300,coverage,46,5000,25.148104044849234,31212178.626,0.7788257170117372
RF,50,random,42,5000,15.047571162941825,14439353.794,0.912193770455712
RF,50,distance,42,5000,15.45105631450075,14081803.708,0.8902944000883962
RF,50,diversified,42,5000,15.007956198617414,20841097.61,0.9379552990091583
RF,50,coverage,42,5000,15.395355241888275,15951046.416,0.9270890484646112
RF,50,random,43,5000,15.238084573693921,14999852.412,0.837457599661518
RF,50,distance,43,5000,15.075863443969894,15193147.244,0.8650844091225747
RF,50,diversified,43,5000,14.960135080921052,18936093.312,0.9441093673550052
RF,50,coverage,43,5000,14.92319087861747,17031250.478,0.9248914229734913
RF,50,random,44,5000,15.263940731388084,15640388.406,0.858939270397432
RF,50,distance,44,5000,15.371309046494986,14260093.508,0.9147011223336385
RF,50,diversified,44,5000,14.748295141103357,19217428.746,0.9372710607303876
RF,50,coverage,44,5000,15.300914809299135,16868807.05,0.9242603875564742
RF,50,random,45,5000,15.16700593938873,14852907.16,0.8915622540283735
RF,50,distance,45,5000,15.505571455232573,14787122.728,0.8962115074267129
RF,50,diversified,45,5000,15.965254154973788,20695183.832,0.9240462295805113
RF,50,coverage,45,5000,15.454814384532847,16538521.53,0.9511332974242706
RF,50,random,46,5000,15.00416498301048,15156704.95,0.904021575668944
RF,50,distance,46,5000,15.684065891217786,15830475.698,0.8306959720283149
RF,50,diversified,46,5000,15.136588483663546,19110836.568,0.9451340065701809
RF,50,coverage,46,5000,16.424704202953492,17905923.196,0.9106804017524969
RF,100,random,42,5000,13.250994225469906,13958398.834,0.8578999526394399
RF,100,distance,42,5000,13.602819280845345,13704124.962,0.8673818840501086
RF,100,diversified,42,5000,12.88382788229707,18295950.196,0.9290135396515968
RF,100,coverage,42,5000,13.167020068446393,16458137.786,0.912328085623533
RF,100,random,43,5000,13.383785482405472,13918771.852,0.8472202140587349
RF,100,distance,43,5000,13.487947387403116,14538780.336,0.8661823453897837
RF,100,diversified,43,5000,12.735516556579473,17686607.78,0.9259670721008392
RF,100,coverage,43,5000,13.53549274868733,17189758.9,0.916787757527653
RF,100,random,44,5000,13.804747376441028,14954706.45,0.8409908186878354
RF,100,distance,44,5000,12.921702362107254,12467131.462,0.8514384032371857
RF,100,diversified,44,5000,12.39574259572475,17156566.816,0.9515770651466616
RF,100,coverage,44,5000,14.05241562368774,17385568.614,0.916934778576175
RF,100,random,45,5000,13.369707825709623,13768307.998,0.88290319433826
RF,100,distance,45,5000,13.482834256078863,14376143.402,0.8508605935167133
RF,100,diversified,45,5000,12.714550008801902,17857104.354,0.9389981055630816
RF,100,coverage,45,5000,13.549503045851107,17514339.612,0.9162881442843261
RF,100,random,46,5000,13.590256478967527,14770289.85,0.8725042721255275
RF,100,distance,46,5000,14.220526877463612,15127597.598,0.8851215075612769
RF,100,diversified,46,5000,12.304969154995078,16530590.716,0.9368148364312999
RF,100,coverage,46,5000,13.343579347803889,17441752.098,0.9281273739226714
RF,200,random,42,5000,13.039039435368027,13589205.398,0.8310050289966594
RF,200,distance,42,5000,13.546401164774954,15424674.414,0.7908337651093088
RF,200,diversified,42,5000,12.634899366038141,18385782.428,0.943389178605468
RF,200,coverage,42,5000,12.57327710975227,16123553.552,0.8875199216140455
RF,200,random,43,5000,12.475070688358675,13401643.972,0.8458187935542747
RF,200,distance,43,5000,13.151132622609927,13521138.198,0.8535310585882098
RF,200,diversified,43,5000,12.407737340197457,18066396.728,0.9192898393977473
RF,200,coverage,43,5000,12.54583101150257,15446864.192,0.9191173738833154
RF,200,random,44,5000,12.97163294370203,14335802.61,0.8299708057167086
RF,200,distance,44,5000,12.673234952635093,13776714.912,0.8776462408919165
RF,200,diversified,44,5000,12.092696579078527,16868898.708,0.9379628254092147
RF,200,coverage,44,5000,12.056493858403552,16177457.766,0.9284134893695781
RF,200,random,45,5000,12.394466127013178,13331538.084,0.8841837119315288
RF,200,distance,45,5000,13.17330691119443,13301133.072,0.8664475691436162
RF,200,diversified,45,5000,12.366307995869558,16523529.76,0.9384403953134832
RF,200,coverage,45,5000,12.001926886957898,16640179.79,0.9078106176853167
RF,200,random,46,5000,12.664405031551754,14610045.366,0.8476276663194829
RF,200,distance,46,5000,13.710196673171613,16541211.516,0.8079059115955213
RF,200,diversified,46,5000,12.656214937253699,17587302.74,0.9308906915847577
RF,200,coverage,46,5000,13.229364638758096,17025369.398,0.9039521117871674
RF,300,random,42,5000,12.656457197900725,13572141.282,0.8397356436741372
RF,300,distance,42,5000,13.116499209582935,14333598.826,0.8505563378749222
RF,300,diversified,42,5000,12.54893671701117,19050106.84,0.8948281882291285
RF,300,coverage,42,5000,12.44759204868117,17114162.49,0.9182542501508781
RF,300,random,43,5000,12.571226394426189,13691823.57,0.7994037011723529
RF,300,distance,43,5000,12.987128667102532,14349712.07,0.8285336358122133
RF,300,diversified,43,5000,11.656003210912006,15694704.496,0.8872381046092145
RF,300,coverage,43,5000,12.474134016260624,16420150.0,0.9208581971641681
RF,300,random,44,5000,13.648444117362759,15549097.008,0.8017614878584084
RF,300,distance,44,5000,13.480637270394189,15475227.142,0.8866836306011981
RF,300,diversified,44,5000,12.410750898702808,16496726.524,0.9016317124171022
RF,300,coverage,44,5000,12.613247534449497,16821715.576,0.9173011096402411
RF,300,random,45,5000,12.8862121708877,14235862.166,0.8467152278421117
RF,300,distance,45,5000,12.497513523264962,15554078.958,0.795774624955405
RF,300,diversified,45,5000,12.811146100705423,18226472.228,0.9302704350278843
RF,300,coverage,45,5000,11.67920272653476,14115123.912,0.9172584544985158
RF,300,random,46,5000,12.579933576831065,14843693.226,0.8244649377076846
RF,300,distance,46,5000,13.411183501472618,12985954.242,0.798187849115927
RF,300,diversified,46,5000,12.602046507512595,18323444.312,0.9054302351762535
RF,300,coverage,46,5000,12.123117235677215,16728510.656,0.9228576404617469
XGB,50,random,42,5000,28.216649673624673,23194142.454,0.8376526284153444
XGB,50,distance,42,5000,26.465938681556988,21627561.328,0.8216232821041487
XGB,50,diversified,42,5000,25.113439063332166,31851375.704,0.8658876323904168
XGB,50,coverage,42,5000,26.98881953016189,26759767.8,0.8783327629830533
XGB,50,random,43,5000,28.060905083618557,24523258.87,0.7407595534031374
XGB,50,distance,43,5000,28.182464125054736,24153819.418,0.8157048667645862
XGB,50,diversified,43,5000,24.97950020410713,30576990.768,0.8977546544254054
XGB,50,coverage,43,5000,29.42672969953494,28324863.506,0.8646253904938339
XGB,50,random,44,5000,28.114065715019017,24228354.69,0.7944455911291807
XGB,50,distance,44,5000,26.855559041094224,25464989.572,0.8242687447027157
XGB,50,diversified,44,5000,25.17590149194424,30452259.356,0.9247686259572307
XGB,50,coverage,44,5000,25.825704515064025,24209805.26,0.8778474589867413
XGB,50,random,45,5000,29.40228931860921,23375928.428,0.8398607190885363
XGB,50,distance,45,5000,27.0276444514147,22753773.722,0.8101856531277977
XGB,50,diversified,45,5000,24.465016672265747,29859164.66,0.8621233146005007
XGB,50,coverage,45,5000,26.330598650949426,26215773.17,0.8504766169682072
XGB,50,random,46,5000,28.810305447494212,24847223.888,0.8371519011029658
XGB,50,distance,46,5000,27.622144165450475,21858546.768,0.8139454695761958
XGB,50,diversified,46,5000,25.300463583690757,31621278.934,0.8429567823932154
XGB,50,coverage,46,5000,26.501392750117418,27794333.554,0.878296400239235
XGB,100,random,42,5000,17.136351820398847,16463658.156,0.8918946404765438
XGB,100,distance,42,5000,17.104904810487632,15748970.932,0.8933411833048043
XGB,100,diversified,42,5000,17.001188429727517,21884004.218,0.9093415297288902
XGB,100,coverage,42,5000,16.804433867481418,22434109.986,0.8452242750897319
XGB,100,random,43,5000,16.97797599623817,17073022.496,0.7561606313789346
XGB,100,distance,43,5000,18.125101224652155,16999125.084,0.8401056132907665
XGB,100,diversified,43,5000,16.811800397161562,22134649.644,0.9253534223265949
XGB,100,coverage,43,5000,17.227634609225866,21232342.576,0.9048475910893458
XGB,100,random,44,5000,17.82241251724848,18164553.902,0.8252935812001967
XGB,100,distance,44,5000,16.877280410416475,15497855.28,0.8913324097795327
XGB,100,diversified,44,5000,16.942117383450565,23843651.636,0.9041567313279999
XGB,100,coverage,44,5000,16.147088585115785,18887474.402,0.94039786135157
XGB,100,random,45,5000,17.514167913804236,16589081.878,0.8807059613937771
XGB,100,distance,45,5000,17.572142012459697,16105106.91,0.8588724633645295
XGB,100,diversified,45,5000,17.169456321937105,23143565.366,0.8865043023982061
XGB,100,coverage,45,5000,16.997627546709253,20552609.962,0.9119596472852157
XGB,100,random,46,5000,18.332373753228236,19157947.468,0.839499319442792
XGB,100,distance,46,5000,17.22876425458977,15253041.74,0.8710693638332427
XGB,100,diversified,46,5000,17.37046262269365,21884464.032,0.9274902866337963
XGB,100,coverage,46,5000,16.652579689106734,22936184.32,0.8642067648971972
XGB,200,random,42,5000,15.11611756094768,15957534.314,0.8135148588950137
XGB,200,distance,42,5000,14.411320340391784,14499223.426,0.8771783206109448
XGB,200,diversified,42,5000,13.354662812028714,19206559.096,0.9208090687832201
XGB,200,coverage,42,5000,13.04864138426459,16590110.782,0.9230561316714713
XGB,200,random,43,5000,14.118624963889964,14991366.11,0.7444434795599542
XGB,200,distance,43,5000,14.844831660503042,15210663.42,0.8236492706584099
XGB,200,diversified,43,5000,12.461923001630094,17510622.412,0.9260341949680252
XGB,200,coverage,43,5000,13.533884138913244,17558542.662,0.9237514721058308
XGB,200,random,44,5000,14.448983320082858,15442704.336,0.8513386217441683
XGB,200,distance,44,5000,15.454570728451294,17209259.138,0.747334744569458
XGB,200,diversified,44,5000,12.885942522169792,17885422.764,0.9138028428387802
XGB,200,coverage,44,5000,13.018374450614322,17093896.612,0.9135480489247828
XGB,200,random,45,5000,13.73025569974948,14194481.758,0.8596640903014953
XGB,200,distance,45,5000,13.689556237665876,15194441.828,0.8143818451045128
XGB,200,diversified,45,5000,13.834545415619365,19457921.98,0.9294618408961719
XGB,200,coverage,45,5000,14.122838062436086,17783672.426,0.9302165817454527
XGB,200,random,46,5000,13.678059386498012,14803363.21,0.8820275433552546
XGB,200,distance,46,5000,15.041830181413665,14409954.306,0.8810558695525521
XGB,200,diversified,46,5000,14.04831441451408,19987981.916,0.8985695369713559
XGB,200,coverage,46,5000,13.535208232669005,16921454.412,0.8692686383513873
XGB,300,random,42,5000,13.178480338131749,14008755.698,0.8780388447494759
XGB,300,distance,42,5000,13.28155773560906,16143004.088,0.740175393205611
XGB,300,diversified,42,5000,12.118967715408047,17845737.44,0.926695186860492
XGB,300,coverage,42,5000,12.447138235085843,16779883.582,0.915397892754524
XGB,300,random,43,5000,13.180744486485093,14988324.874,0.7007331276931186
XGB,300,distance,43,5000,12.71107885333707,12864673.492,0.8512836539940161
XGB,300,diversified,43,5000,11.587147224023731,17593816.086,0.9177318603021603
XGB,300,coverage,43,5000,12.008451571680496,15377032.106,0.9259377975144543
XGB,300,random,44,5000,13.263392147606279,14404181.052,0.8608871792826616
XGB,300,distance,44,5000,13.057297125627167,14588239.544,0.8161973772463929
XGB,300,diversified,44,5000,11.269524635062679,16644219.644,0.9234749276455039
XGB,300,coverage,44,5000,12.733538507806507,17373909.028,0.8828372607576203
XGB,300,random,45,5000,12.321996628290666,13032564.922,0.9025694169139881
XGB,300,distance,45,5000,13.365919403862447,14368860.892,0.8600155229473889
XGB,300,diversified,45,5000,11.859260812338219,18284640.148,0.9231875055073604
XGB,300,coverage,45,5000,12.455051382401535,16357320.976,0.889031660051681
XGB,300,random,46,5000,13.087571595879563,15134710.49,0.8364994408063684
XGB,300,distance,46,5000,12.974274424273444,13804409.13,0.86913355772431
XGB,300,diversified,46,5000,11.514305006377317,17470149.508,0.9302323979084979
XGB,300,coverage,46,5000,12.59406201581049,16788602.968,0.9271187439496203
