ranking,mape_mean|coverage,mape_mean|distance,mape_mean|diversified,mape_mean|random,mape_std|coverage,mape_std|distance,mape_std|diversified,mape_std|random
RF,12.48 ± 0.50,13.25 ± 0.40,12.43 ± 0.23,12.71 ± 0.29,12.48 ± 0.50,13.25 ± 0.40,12.43 ± 0.23,12.71 ± 0.29
Spearman,24.97 ± 0.47,23.94 ± 0.12,22.24 ± 0.50,23.42 ± 0.98,24.97 ± 0.47,23.94 ± 0.12,22.24 ± 0.50,23.42 ± 0.98
XGB,13.45 ± 0.45,14.69 ± 0.67,13.32 ± 0.66,14.22 ± 0.59,13.45 ± 0.45,14.69 ± 0.67,13.32 ± 0.66,14.22 ± 0.59
