ranking,mape_mean|coverage,mape_mean|distance,mape_mean|diversified,mape_mean|random,mape_std|coverage,mape_std|distance,mape_std|diversified,mape_std|random
RF,13.53 ± 0.33,13.54 ± 0.46,12.61 ± 0.25,13.48 ± 0.22,13.53 ± 0.33,13.54 ± 0.46,12.61 ± 0.25,13.48 ± 0.22
Spearman,23.62 ± 0.26,23.22 ± 0.62,23.89 ± 0.42,23.11 ± 0.30,23.62 ± 0.26,23.22 ± 0.62,23.89 ± 0.42,23.11 ± 0.30
XGB,16.77 ± 0.41,17.38 ± 0.49,17.06 ± 0.22,17.56 ± 0.54,16.77 ± 0.41,17.38 ± 0.49,17.06 ± 0.22,17.56 ± 0.54
